,broad_type
1061,GABA-ergic Neuron
1062,GABA-ergic Neuron
1063,GABA-ergic Neuron
1064,GABA-ergic Neuron
1065,GABA-ergic Neuron
1066,GABA-ergic Neuron
1067,GABA-ergic Neuron
1068,GABA-ergic Neuron
1069,GABA-ergic Neuron
1070,GABA-ergic Neuron
1071,GABA-ergic Neuron
1072,GABA-ergic Neuron
1073,GABA-ergic Neuron
1074,GABA-ergic Neuron
1075,GABA-ergic Neuron
1076,GABA-ergic Neuron
1077,Oligodendrocyte
1078,Oligodendrocyte
1079,Oligodendrocyte
1080,Oligodendrocyte
1081,Oligodendrocyte
1082,Oligodendrocyte
1083,Oligodendrocyte
1084,Oligodendrocyte
1085,Oligodendrocyte
1086,Oligodendrocyte
1087,Oligodendrocyte
1088,Oligodendrocyte
1089,Oligodendrocyte
1090,Oligodendrocyte
1091,Oligodendrocyte
1092,Oligodendrocyte
1093,Oligodendrocyte
1094,Oligodendrocyte
1095,Oligodendrocyte
1096,Oligodendrocyte
1097,Oligodendrocyte
1098,Oligodendrocyte
1099,Oligodendrocyte
1100,Oligodendrocyte
1101,Oligodendrocyte
1102,Oligodendrocyte
1103,Oligodendrocyte
1104,Oligodendrocyte
1105,Oligodendrocyte
1106,Oligodendrocyte
1107,Oligodendrocyte Precursor Cell
1108,Oligodendrocyte Precursor Cell
1109,Oligodendrocyte Precursor Cell
1110,Oligodendrocyte Precursor Cell
1111,Oligodendrocyte Precursor Cell
1112,Oligodendrocyte Precursor Cell
1113,Oligodendrocyte Precursor Cell
1114,Oligodendrocyte Precursor Cell
1115,Oligodendrocyte Precursor Cell
1116,Oligodendrocyte Precursor Cell
1117,Oligodendrocyte Precursor Cell
1118,Oligodendrocyte Precursor Cell
1119,Oligodendrocyte Precursor Cell
1120,Oligodendrocyte Precursor Cell
1121,Oligodendrocyte Precursor Cell
1122,Oligodendrocyte Precursor Cell
1123,Oligodendrocyte Precursor Cell
1124,Oligodendrocyte Precursor Cell
1125,Oligodendrocyte Precursor Cell
1126,Oligodendrocyte Precursor Cell
1127,Oligodendrocyte Precursor Cell
1128,Oligodendrocyte Precursor Cell
1129,Oligodendrocyte
1130,Oligodendrocyte
1131,Oligodendrocyte
1132,Oligodendrocyte
1133,Oligodendrocyte
1134,Oligodendrocyte
1135,Oligodendrocyte
1136,Oligodendrocyte
1137,GABA-ergic Neuron
1138,GABA-ergic Neuron
1139,GABA-ergic Neuron
1140,GABA-ergic Neuron
1141,GABA-ergic Neuron
1142,GABA-ergic Neuron
1143,GABA-ergic Neuron
1144,GABA-ergic Neuron
1145,GABA-ergic Neuron
1146,GABA-ergic Neuron
1147,GABA-ergic Neuron
1148,GABA-ergic Neuron
1149,GABA-ergic Neuron
1150,GABA-ergic Neuron
1151,GABA-ergic Neuron
1152,GABA-ergic Neuron
1153,GABA-ergic Neuron
1154,GABA-ergic Neuron
1155,GABA-ergic Neuron
1156,GABA-ergic Neuron
1157,GABA-ergic Neuron
1158,GABA-ergic Neuron
1159,GABA-ergic Neuron
1160,GABA-ergic Neuron
1161,GABA-ergic Neuron
1162,GABA-ergic Neuron
1163,GABA-ergic Neuron
1164,GABA-ergic Neuron
1165,GABA-ergic Neuron
1166,GABA-ergic Neuron
1167,GABA-ergic Neuron
1168,GABA-ergic Neuron
1169,GABA-ergic Neuron
1170,GABA-ergic Neuron
1171,GABA-ergic Neuron
1172,GABA-ergic Neuron
1173,GABA-ergic Neuron
1174,GABA-ergic Neuron
1175,GABA-ergic Neuron
1176,GABA-ergic Neuron
1177,GABA-ergic Neuron
1178,GABA-ergic Neuron
1179,GABA-ergic Neuron
1180,GABA-ergic Neuron
1181,GABA-ergic Neuron
1182,GABA-ergic Neuron
1183,GABA-ergic Neuron
1184,GABA-ergic Neuron
1185,GABA-ergic Neuron
1186,GABA-ergic Neuron
1187,GABA-ergic Neuron
1188,GABA-ergic Neuron
1189,GABA-ergic Neuron
1190,GABA-ergic Neuron
1191,GABA-ergic Neuron
1192,GABA-ergic Neuron
1193,GABA-ergic Neuron
1194,GABA-ergic Neuron
1195,GABA-ergic Neuron
1196,GABA-ergic Neuron
1197,GABA-ergic Neuron
1198,GABA-ergic Neuron
1199,GABA-ergic Neuron
1200,GABA-ergic Neuron
1201,GABA-ergic Neuron
1202,GABA-ergic Neuron
1203,GABA-ergic Neuron
1204,GABA-ergic Neuron
1205,GABA-ergic Neuron
1206,GABA-ergic Neuron
1207,GABA-ergic Neuron
1208,GABA-ergic Neuron
1209,GABA-ergic Neuron
1210,GABA-ergic Neuron
1211,GABA-ergic Neuron
1212,GABA-ergic Neuron
1213,GABA-ergic Neuron
1214,GABA-ergic Neuron
1215,GABA-ergic Neuron
1216,GABA-ergic Neuron
1217,GABA-ergic Neuron
1218,GABA-ergic Neuron
1219,GABA-ergic Neuron
1220,GABA-ergic Neuron
1221,GABA-ergic Neuron
1222,GABA-ergic Neuron
1223,GABA-ergic Neuron
1224,GABA-ergic Neuron
1225,GABA-ergic Neuron
1226,GABA-ergic Neuron
1227,GABA-ergic Neuron
1228,GABA-ergic Neuron
1229,GABA-ergic Neuron
1230,GABA-ergic Neuron
1231,GABA-ergic Neuron
1232,GABA-ergic Neuron
1233,GABA-ergic Neuron
1234,GABA-ergic Neuron
1235,GABA-ergic Neuron
1236,GABA-ergic Neuron
1237,GABA-ergic Neuron
1238,GABA-ergic Neuron
1239,GABA-ergic Neuron
1240,GABA-ergic Neuron
1241,GABA-ergic Neuron
1242,GABA-ergic Neuron
1243,GABA-ergic Neuron
1244,GABA-ergic Neuron
1245,GABA-ergic Neuron
1246,GABA-ergic Neuron
1247,GABA-ergic Neuron
1248,GABA-ergic Neuron
1249,GABA-ergic Neuron
1250,GABA-ergic Neuron
1251,GABA-ergic Neuron
1252,GABA-ergic Neuron
1253,GABA-ergic Neuron
1254,GABA-ergic Neuron
1255,GABA-ergic Neuron
1256,GABA-ergic Neuron
1257,GABA-ergic Neuron
1258,GABA-ergic Neuron
1259,GABA-ergic Neuron
1260,GABA-ergic Neuron
1261,GABA-ergic Neuron
1262,GABA-ergic Neuron
1263,GABA-ergic Neuron
1264,GABA-ergic Neuron
1265,GABA-ergic Neuron
1266,GABA-ergic Neuron
1267,GABA-ergic Neuron
1268,GABA-ergic Neuron
1269,GABA-ergic Neuron
1270,GABA-ergic Neuron
1271,GABA-ergic Neuron
1272,GABA-ergic Neuron
1273,GABA-ergic Neuron
1274,GABA-ergic Neuron
1275,GABA-ergic Neuron
1276,GABA-ergic Neuron
1277,GABA-ergic Neuron
1278,GABA-ergic Neuron
1279,GABA-ergic Neuron
1280,GABA-ergic Neuron
1281,GABA-ergic Neuron
1282,GABA-ergic Neuron
1283,GABA-ergic Neuron
1284,GABA-ergic Neuron
1285,GABA-ergic Neuron
1286,GABA-ergic Neuron
1287,GABA-ergic Neuron
1288,GABA-ergic Neuron
1289,GABA-ergic Neuron
1290,GABA-ergic Neuron
1291,GABA-ergic Neuron
1292,GABA-ergic Neuron
1293,GABA-ergic Neuron
1294,GABA-ergic Neuron
1295,GABA-ergic Neuron
1296,GABA-ergic Neuron
1297,GABA-ergic Neuron
1298,GABA-ergic Neuron
1299,GABA-ergic Neuron
1300,GABA-ergic Neuron
1301,GABA-ergic Neuron
1302,GABA-ergic Neuron
1303,GABA-ergic Neuron
1304,GABA-ergic Neuron
1305,GABA-ergic Neuron
1306,GABA-ergic Neuron
1307,GABA-ergic Neuron
1308,GABA-ergic Neuron
1309,GABA-ergic Neuron
1310,GABA-ergic Neuron
1311,GABA-ergic Neuron
1312,GABA-ergic Neuron
1313,GABA-ergic Neuron
1314,GABA-ergic Neuron
1315,GABA-ergic Neuron
1316,GABA-ergic Neuron
1317,GABA-ergic Neuron
1318,GABA-ergic Neuron
1319,GABA-ergic Neuron
1320,GABA-ergic Neuron
1321,GABA-ergic Neuron
1322,GABA-ergic Neuron
1323,GABA-ergic Neuron
1324,GABA-ergic Neuron
1325,GABA-ergic Neuron
1326,GABA-ergic Neuron
1327,GABA-ergic Neuron
1328,GABA-ergic Neuron
1329,GABA-ergic Neuron
1330,GABA-ergic Neuron
1331,GABA-ergic Neuron
1332,GABA-ergic Neuron
1333,GABA-ergic Neuron
1334,GABA-ergic Neuron
1335,GABA-ergic Neuron
1336,GABA-ergic Neuron
1337,GABA-ergic Neuron
1338,GABA-ergic Neuron
1339,GABA-ergic Neuron
1340,GABA-ergic Neuron
1341,GABA-ergic Neuron
1342,GABA-ergic Neuron
1343,GABA-ergic Neuron
1344,GABA-ergic Neuron
1345,GABA-ergic Neuron
1346,GABA-ergic Neuron
1347,GABA-ergic Neuron
1348,GABA-ergic Neuron
1349,GABA-ergic Neuron
1350,GABA-ergic Neuron
1351,GABA-ergic Neuron
1352,GABA-ergic Neuron
1353,GABA-ergic Neuron
1354,GABA-ergic Neuron
1355,GABA-ergic Neuron
1356,GABA-ergic Neuron
1357,GABA-ergic Neuron
1358,GABA-ergic Neuron
1359,GABA-ergic Neuron
1360,GABA-ergic Neuron
1361,GABA-ergic Neuron
1362,GABA-ergic Neuron
1363,GABA-ergic Neuron
1364,GABA-ergic Neuron
1365,GABA-ergic Neuron
1366,GABA-ergic Neuron
1367,GABA-ergic Neuron
1368,GABA-ergic Neuron
1369,GABA-ergic Neuron
1370,GABA-ergic Neuron
1371,GABA-ergic Neuron
1372,GABA-ergic Neuron
1373,GABA-ergic Neuron
1374,GABA-ergic Neuron
1375,GABA-ergic Neuron
1376,GABA-ergic Neuron
1377,GABA-ergic Neuron
1378,GABA-ergic Neuron
1379,GABA-ergic Neuron
1380,GABA-ergic Neuron
1381,GABA-ergic Neuron
1382,GABA-ergic Neuron
1383,GABA-ergic Neuron
1384,GABA-ergic Neuron
1385,GABA-ergic Neuron
1386,GABA-ergic Neuron
1387,GABA-ergic Neuron
1388,GABA-ergic Neuron
1389,GABA-ergic Neuron
1390,GABA-ergic Neuron
1391,GABA-ergic Neuron
1392,GABA-ergic Neuron
1393,GABA-ergic Neuron
1394,GABA-ergic Neuron
1395,GABA-ergic Neuron
1396,GABA-ergic Neuron
1397,GABA-ergic Neuron
1398,GABA-ergic Neuron
1399,GABA-ergic Neuron
1400,GABA-ergic Neuron
1401,GABA-ergic Neuron
1402,GABA-ergic Neuron
1403,GABA-ergic Neuron
1404,GABA-ergic Neuron
1405,GABA-ergic Neuron
1406,GABA-ergic Neuron
1407,GABA-ergic Neuron
1408,GABA-ergic Neuron
1409,GABA-ergic Neuron
1410,GABA-ergic Neuron
1411,GABA-ergic Neuron
1412,GABA-ergic Neuron
1413,GABA-ergic Neuron
1414,GABA-ergic Neuron
1415,GABA-ergic Neuron
1416,GABA-ergic Neuron
1417,GABA-ergic Neuron
1418,GABA-ergic Neuron
1419,GABA-ergic Neuron
1420,GABA-ergic Neuron
1421,GABA-ergic Neuron
1422,GABA-ergic Neuron
1423,GABA-ergic Neuron
1424,GABA-ergic Neuron
1425,GABA-ergic Neuron
1426,GABA-ergic Neuron
1427,GABA-ergic Neuron
1428,GABA-ergic Neuron
1429,GABA-ergic Neuron
1430,GABA-ergic Neuron
1431,GABA-ergic Neuron
1432,GABA-ergic Neuron
1433,GABA-ergic Neuron
1434,GABA-ergic Neuron
1435,GABA-ergic Neuron
1436,GABA-ergic Neuron
1437,GABA-ergic Neuron
1438,GABA-ergic Neuron
1439,GABA-ergic Neuron
1440,GABA-ergic Neuron
1441,GABA-ergic Neuron
1442,GABA-ergic Neuron
1443,GABA-ergic Neuron
1444,GABA-ergic Neuron
1445,GABA-ergic Neuron
1446,GABA-ergic Neuron
1447,GABA-ergic Neuron
1448,GABA-ergic Neuron
1449,GABA-ergic Neuron
1450,GABA-ergic Neuron
1451,GABA-ergic Neuron
1452,GABA-ergic Neuron
1453,GABA-ergic Neuron
1454,GABA-ergic Neuron
1455,GABA-ergic Neuron
1456,GABA-ergic Neuron
1457,GABA-ergic Neuron
1458,GABA-ergic Neuron
1459,GABA-ergic Neuron
1460,GABA-ergic Neuron
1461,GABA-ergic Neuron
1462,GABA-ergic Neuron
1463,GABA-ergic Neuron
1464,GABA-ergic Neuron
1465,GABA-ergic Neuron
1466,GABA-ergic Neuron
1467,GABA-ergic Neuron
1468,GABA-ergic Neuron
1469,GABA-ergic Neuron
1470,GABA-ergic Neuron
1471,GABA-ergic Neuron
1472,GABA-ergic Neuron
1473,GABA-ergic Neuron
1474,GABA-ergic Neuron
1475,GABA-ergic Neuron
1476,GABA-ergic Neuron
1477,GABA-ergic Neuron
1478,GABA-ergic Neuron
1479,GABA-ergic Neuron
1480,GABA-ergic Neuron
1481,GABA-ergic Neuron
1482,GABA-ergic Neuron
1483,GABA-ergic Neuron
1484,GABA-ergic Neuron
1485,GABA-ergic Neuron
1486,GABA-ergic Neuron
1487,GABA-ergic Neuron
1488,GABA-ergic Neuron
1489,GABA-ergic Neuron
1490,GABA-ergic Neuron
1491,GABA-ergic Neuron
1492,GABA-ergic Neuron
1493,GABA-ergic Neuron
1494,GABA-ergic Neuron
1495,GABA-ergic Neuron
1496,GABA-ergic Neuron
1497,GABA-ergic Neuron
1498,GABA-ergic Neuron
1499,GABA-ergic Neuron
1500,GABA-ergic Neuron
1501,GABA-ergic Neuron
1502,GABA-ergic Neuron
1503,GABA-ergic Neuron
1504,GABA-ergic Neuron
1505,GABA-ergic Neuron
1506,GABA-ergic Neuron
1507,GABA-ergic Neuron
1508,GABA-ergic Neuron
1509,GABA-ergic Neuron
1510,GABA-ergic Neuron
1511,GABA-ergic Neuron
1512,GABA-ergic Neuron
1513,GABA-ergic Neuron
1514,GABA-ergic Neuron
1515,GABA-ergic Neuron
1516,GABA-ergic Neuron
1517,GABA-ergic Neuron
1518,GABA-ergic Neuron
1519,GABA-ergic Neuron
1520,GABA-ergic Neuron
1521,GABA-ergic Neuron
1522,GABA-ergic Neuron
1523,GABA-ergic Neuron
1524,GABA-ergic Neuron
1525,GABA-ergic Neuron
1526,GABA-ergic Neuron
1527,GABA-ergic Neuron
1528,GABA-ergic Neuron
1529,GABA-ergic Neuron
1530,GABA-ergic Neuron
1531,GABA-ergic Neuron
1532,GABA-ergic Neuron
1533,GABA-ergic Neuron
1534,GABA-ergic Neuron
1535,GABA-ergic Neuron
1536,GABA-ergic Neuron
1537,GABA-ergic Neuron
1538,GABA-ergic Neuron
1539,GABA-ergic Neuron
1540,GABA-ergic Neuron
1541,GABA-ergic Neuron
1542,GABA-ergic Neuron
1543,GABA-ergic Neuron
1544,GABA-ergic Neuron
1545,GABA-ergic Neuron
1546,GABA-ergic Neuron
1547,GABA-ergic Neuron
1548,GABA-ergic Neuron
1549,GABA-ergic Neuron
1550,GABA-ergic Neuron
1551,GABA-ergic Neuron
1552,GABA-ergic Neuron
1553,GABA-ergic Neuron
1554,GABA-ergic Neuron
1555,GABA-ergic Neuron
1556,GABA-ergic Neuron
1557,GABA-ergic Neuron
1558,GABA-ergic Neuron
1559,GABA-ergic Neuron
1560,GABA-ergic Neuron
1561,GABA-ergic Neuron
1562,GABA-ergic Neuron
1563,GABA-ergic Neuron
1564,GABA-ergic Neuron
1565,GABA-ergic Neuron
1566,GABA-ergic Neuron
1567,GABA-ergic Neuron
1568,GABA-ergic Neuron
1569,GABA-ergic Neuron
1570,GABA-ergic Neuron
1571,GABA-ergic Neuron
1572,GABA-ergic Neuron
1573,GABA-ergic Neuron
1574,GABA-ergic Neuron
1575,GABA-ergic Neuron
1576,GABA-ergic Neuron
1577,GABA-ergic Neuron
1578,GABA-ergic Neuron
1579,GABA-ergic Neuron
1580,GABA-ergic Neuron
1581,GABA-ergic Neuron
1582,GABA-ergic Neuron
1583,GABA-ergic Neuron
1584,GABA-ergic Neuron
1585,GABA-ergic Neuron
1586,GABA-ergic Neuron
1587,GABA-ergic Neuron
1588,GABA-ergic Neuron
1589,GABA-ergic Neuron
1590,GABA-ergic Neuron
1591,GABA-ergic Neuron
1592,GABA-ergic Neuron
1593,GABA-ergic Neuron
1594,GABA-ergic Neuron
1595,GABA-ergic Neuron
1596,GABA-ergic Neuron
1597,GABA-ergic Neuron
1598,GABA-ergic Neuron
1599,GABA-ergic Neuron
1600,GABA-ergic Neuron
1601,GABA-ergic Neuron
1602,GABA-ergic Neuron
1603,GABA-ergic Neuron
1604,GABA-ergic Neuron
1605,GABA-ergic Neuron
1606,GABA-ergic Neuron
1607,GABA-ergic Neuron
1608,GABA-ergic Neuron
1609,GABA-ergic Neuron
1610,GABA-ergic Neuron
1611,GABA-ergic Neuron
1612,GABA-ergic Neuron
1613,GABA-ergic Neuron
1614,GABA-ergic Neuron
1615,GABA-ergic Neuron
1616,GABA-ergic Neuron
1617,GABA-ergic Neuron
1618,GABA-ergic Neuron
1619,GABA-ergic Neuron
1620,GABA-ergic Neuron
1621,GABA-ergic Neuron
1622,GABA-ergic Neuron
1623,GABA-ergic Neuron
1624,GABA-ergic Neuron
1625,GABA-ergic Neuron
1626,GABA-ergic Neuron
1627,GABA-ergic Neuron
1628,GABA-ergic Neuron
1629,GABA-ergic Neuron
1630,GABA-ergic Neuron
1631,GABA-ergic Neuron
1632,GABA-ergic Neuron
1633,GABA-ergic Neuron
1634,GABA-ergic Neuron
1635,GABA-ergic Neuron
1636,GABA-ergic Neuron
1637,GABA-ergic Neuron
1638,GABA-ergic Neuron
1639,GABA-ergic Neuron
1640,GABA-ergic Neuron
1641,GABA-ergic Neuron
1642,GABA-ergic Neuron
1643,GABA-ergic Neuron
1644,GABA-ergic Neuron
1645,GABA-ergic Neuron
1646,GABA-ergic Neuron
1647,GABA-ergic Neuron
1648,GABA-ergic Neuron
1649,GABA-ergic Neuron
1650,GABA-ergic Neuron
1651,GABA-ergic Neuron
1652,GABA-ergic Neuron
1653,GABA-ergic Neuron
1654,GABA-ergic Neuron
1655,GABA-ergic Neuron
1656,GABA-ergic Neuron
1657,GABA-ergic Neuron
1658,GABA-ergic Neuron
1659,GABA-ergic Neuron
1660,GABA-ergic Neuron
1661,GABA-ergic Neuron
1662,GABA-ergic Neuron
1663,GABA-ergic Neuron
1664,GABA-ergic Neuron
1665,GABA-ergic Neuron
1666,GABA-ergic Neuron
1667,GABA-ergic Neuron
1668,GABA-ergic Neuron
1669,GABA-ergic Neuron
1670,GABA-ergic Neuron
1671,GABA-ergic Neuron
1672,GABA-ergic Neuron
1673,GABA-ergic Neuron
1674,GABA-ergic Neuron
1675,GABA-ergic Neuron
1676,GABA-ergic Neuron
1677,GABA-ergic Neuron
1678,GABA-ergic Neuron
1679,GABA-ergic Neuron
1680,GABA-ergic Neuron
1681,GABA-ergic Neuron
1682,GABA-ergic Neuron
1683,GABA-ergic Neuron
1684,GABA-ergic Neuron
1685,GABA-ergic Neuron
1686,GABA-ergic Neuron
1687,GABA-ergic Neuron
1688,GABA-ergic Neuron
1689,GABA-ergic Neuron
1690,GABA-ergic Neuron
1691,GABA-ergic Neuron
1692,GABA-ergic Neuron
1693,GABA-ergic Neuron
1694,GABA-ergic Neuron
1695,GABA-ergic Neuron
1696,GABA-ergic Neuron
1697,GABA-ergic Neuron
1698,GABA-ergic Neuron
1699,GABA-ergic Neuron
1700,GABA-ergic Neuron
1701,GABA-ergic Neuron
1702,GABA-ergic Neuron
1703,GABA-ergic Neuron
1704,GABA-ergic Neuron
1705,GABA-ergic Neuron
1706,GABA-ergic Neuron
1707,GABA-ergic Neuron
1708,GABA-ergic Neuron
1709,GABA-ergic Neuron
1710,GABA-ergic Neuron
1711,GABA-ergic Neuron
1712,GABA-ergic Neuron
1713,GABA-ergic Neuron
1714,GABA-ergic Neuron
1715,GABA-ergic Neuron
1716,GABA-ergic Neuron
1717,GABA-ergic Neuron
1718,GABA-ergic Neuron
1719,GABA-ergic Neuron
1720,GABA-ergic Neuron
1721,GABA-ergic Neuron
1722,GABA-ergic Neuron
1723,GABA-ergic Neuron
1724,GABA-ergic Neuron
1725,GABA-ergic Neuron
1726,GABA-ergic Neuron
1727,GABA-ergic Neuron
1728,GABA-ergic Neuron
1729,GABA-ergic Neuron
1730,GABA-ergic Neuron
1731,GABA-ergic Neuron
1732,GABA-ergic Neuron
1733,GABA-ergic Neuron
1734,GABA-ergic Neuron
1735,GABA-ergic Neuron
1736,GABA-ergic Neuron
1737,GABA-ergic Neuron
1738,GABA-ergic Neuron
1739,GABA-ergic Neuron
1740,GABA-ergic Neuron
1741,GABA-ergic Neuron
1742,GABA-ergic Neuron
1743,GABA-ergic Neuron
1744,GABA-ergic Neuron
1745,GABA-ergic Neuron
1746,GABA-ergic Neuron
1747,GABA-ergic Neuron
1748,GABA-ergic Neuron
1749,GABA-ergic Neuron
1750,GABA-ergic Neuron
1751,GABA-ergic Neuron
1752,GABA-ergic Neuron
1753,GABA-ergic Neuron
1754,GABA-ergic Neuron
1755,GABA-ergic Neuron
1756,GABA-ergic Neuron
1757,GABA-ergic Neuron
1758,GABA-ergic Neuron
1759,GABA-ergic Neuron
1760,GABA-ergic Neuron
1761,GABA-ergic Neuron
1762,GABA-ergic Neuron
1763,GABA-ergic Neuron
1764,GABA-ergic Neuron
1765,GABA-ergic Neuron
1766,GABA-ergic Neuron
1767,GABA-ergic Neuron
1768,GABA-ergic Neuron
1769,GABA-ergic Neuron
1770,GABA-ergic Neuron
1771,GABA-ergic Neuron
1772,GABA-ergic Neuron
1773,GABA-ergic Neuron
1774,GABA-ergic Neuron
1775,GABA-ergic Neuron
1776,GABA-ergic Neuron
1777,GABA-ergic Neuron
1778,GABA-ergic Neuron
1779,GABA-ergic Neuron
1780,GABA-ergic Neuron
1781,GABA-ergic Neuron
1782,GABA-ergic Neuron
1783,GABA-ergic Neuron
1784,GABA-ergic Neuron
1785,GABA-ergic Neuron
1786,GABA-ergic Neuron
1787,GABA-ergic Neuron
1788,GABA-ergic Neuron
1789,GABA-ergic Neuron
1790,GABA-ergic Neuron
1791,GABA-ergic Neuron
1792,GABA-ergic Neuron
1793,GABA-ergic Neuron
1794,GABA-ergic Neuron
1795,GABA-ergic Neuron
1796,GABA-ergic Neuron
1797,GABA-ergic Neuron
1798,GABA-ergic Neuron
1799,GABA-ergic Neuron
1800,GABA-ergic Neuron
1801,GABA-ergic Neuron
1802,GABA-ergic Neuron
1803,GABA-ergic Neuron
1804,GABA-ergic Neuron
1805,GABA-ergic Neuron
1806,GABA-ergic Neuron
1807,GABA-ergic Neuron
1808,GABA-ergic Neuron
