,broad_type
249,Glutamatergic Neuron
250,Glutamatergic Neuron
251,Glutamatergic Neuron
252,Glutamatergic Neuron
253,Glutamatergic Neuron
254,Glutamatergic Neuron
255,Glutamatergic Neuron
256,Glutamatergic Neuron
257,Glutamatergic Neuron
258,Glutamatergic Neuron
259,Glutamatergic Neuron
260,Glutamatergic Neuron
261,Glutamatergic Neuron
262,Glutamatergic Neuron
263,Glutamatergic Neuron
264,Glutamatergic Neuron
265,Glutamatergic Neuron
266,Glutamatergic Neuron
267,Glutamatergic Neuron
268,Glutamatergic Neuron
269,Glutamatergic Neuron
270,Glutamatergic Neuron
271,Glutamatergic Neuron
272,Glutamatergic Neuron
273,Glutamatergic Neuron
274,Glutamatergic Neuron
275,Glutamatergic Neuron
276,Glutamatergic Neuron
277,Glutamatergic Neuron
278,Glutamatergic Neuron
279,Glutamatergic Neuron
280,Glutamatergic Neuron
281,Glutamatergic Neuron
282,Glutamatergic Neuron
283,Glutamatergic Neuron
284,Glutamatergic Neuron
285,Glutamatergic Neuron
286,Glutamatergic Neuron
287,Glutamatergic Neuron
288,Glutamatergic Neuron
289,Glutamatergic Neuron
290,Glutamatergic Neuron
291,Glutamatergic Neuron
292,Glutamatergic Neuron
293,Glutamatergic Neuron
294,Glutamatergic Neuron
295,Glutamatergic Neuron
296,Glutamatergic Neuron
297,Glutamatergic Neuron
298,Glutamatergic Neuron
299,Glutamatergic Neuron
300,Glutamatergic Neuron
301,Glutamatergic Neuron
302,Glutamatergic Neuron
303,Glutamatergic Neuron
304,Glutamatergic Neuron
305,Glutamatergic Neuron
306,Glutamatergic Neuron
307,Glutamatergic Neuron
308,Glutamatergic Neuron
309,Glutamatergic Neuron
310,Glutamatergic Neuron
311,Glutamatergic Neuron
312,Glutamatergic Neuron
313,Glutamatergic Neuron
314,Glutamatergic Neuron
315,Glutamatergic Neuron
316,Glutamatergic Neuron
317,Glutamatergic Neuron
318,Glutamatergic Neuron
319,Glutamatergic Neuron
320,Glutamatergic Neuron
321,Glutamatergic Neuron
322,Glutamatergic Neuron
323,Glutamatergic Neuron
324,Glutamatergic Neuron
325,Glutamatergic Neuron
326,Glutamatergic Neuron
327,Glutamatergic Neuron
328,Glutamatergic Neuron
329,Glutamatergic Neuron
330,Glutamatergic Neuron
331,Glutamatergic Neuron
332,Glutamatergic Neuron
333,Glutamatergic Neuron
334,Glutamatergic Neuron
335,Glutamatergic Neuron
336,Glutamatergic Neuron
337,Glutamatergic Neuron
338,Glutamatergic Neuron
339,Glutamatergic Neuron
340,Glutamatergic Neuron
341,Glutamatergic Neuron
342,Glutamatergic Neuron
343,Glutamatergic Neuron
344,Glutamatergic Neuron
345,Glutamatergic Neuron
346,Glutamatergic Neuron
347,Glutamatergic Neuron
348,Glutamatergic Neuron
349,Glutamatergic Neuron
350,Glutamatergic Neuron
351,Glutamatergic Neuron
352,Glutamatergic Neuron
353,Glutamatergic Neuron
354,Glutamatergic Neuron
355,Glutamatergic Neuron
356,Glutamatergic Neuron
357,Glutamatergic Neuron
358,Glutamatergic Neuron
359,Glutamatergic Neuron
360,Glutamatergic Neuron
361,Glutamatergic Neuron
362,Glutamatergic Neuron
363,Glutamatergic Neuron
364,Glutamatergic Neuron
365,Glutamatergic Neuron
366,Glutamatergic Neuron
367,Glutamatergic Neuron
368,Glutamatergic Neuron
369,Glutamatergic Neuron
370,Glutamatergic Neuron
371,Glutamatergic Neuron
372,Glutamatergic Neuron
373,Glutamatergic Neuron
374,Glutamatergic Neuron
375,Glutamatergic Neuron
376,Glutamatergic Neuron
377,Glutamatergic Neuron
378,Glutamatergic Neuron
379,Glutamatergic Neuron
380,Glutamatergic Neuron
381,Glutamatergic Neuron
382,Glutamatergic Neuron
383,Glutamatergic Neuron
384,Glutamatergic Neuron
385,Glutamatergic Neuron
386,Glutamatergic Neuron
387,Glutamatergic Neuron
388,Glutamatergic Neuron
389,Glutamatergic Neuron
390,Glutamatergic Neuron
391,Glutamatergic Neuron
392,Glutamatergic Neuron
393,Glutamatergic Neuron
394,Glutamatergic Neuron
395,Glutamatergic Neuron
396,Glutamatergic Neuron
397,Glutamatergic Neuron
398,Glutamatergic Neuron
399,Glutamatergic Neuron
400,Glutamatergic Neuron
401,Glutamatergic Neuron
402,Glutamatergic Neuron
403,Glutamatergic Neuron
404,Glutamatergic Neuron
405,Glutamatergic Neuron
406,Glutamatergic Neuron
407,Glutamatergic Neuron
408,Glutamatergic Neuron
409,Glutamatergic Neuron
410,Glutamatergic Neuron
411,Glutamatergic Neuron
412,Glutamatergic Neuron
413,Glutamatergic Neuron
414,Glutamatergic Neuron
415,Glutamatergic Neuron
416,Glutamatergic Neuron
417,Glutamatergic Neuron
418,Glutamatergic Neuron
419,Glutamatergic Neuron
420,Glutamatergic Neuron
421,Glutamatergic Neuron
422,Glutamatergic Neuron
423,Glutamatergic Neuron
424,Glutamatergic Neuron
425,Glutamatergic Neuron
426,Glutamatergic Neuron
427,Glutamatergic Neuron
428,Glutamatergic Neuron
429,Glutamatergic Neuron
430,Glutamatergic Neuron
431,Glutamatergic Neuron
432,Glutamatergic Neuron
433,Glutamatergic Neuron
434,Glutamatergic Neuron
435,Glutamatergic Neuron
436,Glutamatergic Neuron
437,Glutamatergic Neuron
438,Glutamatergic Neuron
439,Glutamatergic Neuron
440,Glutamatergic Neuron
441,Glutamatergic Neuron
442,Glutamatergic Neuron
443,Glutamatergic Neuron
444,Glutamatergic Neuron
445,Glutamatergic Neuron
446,Glutamatergic Neuron
447,Glutamatergic Neuron
448,Glutamatergic Neuron
449,Glutamatergic Neuron
450,Glutamatergic Neuron
451,Glutamatergic Neuron
452,Glutamatergic Neuron
453,Glutamatergic Neuron
454,Glutamatergic Neuron
455,Glutamatergic Neuron
456,Glutamatergic Neuron
457,Glutamatergic Neuron
458,Glutamatergic Neuron
459,Glutamatergic Neuron
460,Glutamatergic Neuron
461,Glutamatergic Neuron
462,Glutamatergic Neuron
463,Glutamatergic Neuron
464,Glutamatergic Neuron
465,Glutamatergic Neuron
466,Glutamatergic Neuron
467,Glutamatergic Neuron
468,Glutamatergic Neuron
469,Glutamatergic Neuron
470,Glutamatergic Neuron
471,Glutamatergic Neuron
472,Glutamatergic Neuron
473,Glutamatergic Neuron
474,Glutamatergic Neuron
475,Glutamatergic Neuron
476,Glutamatergic Neuron
477,Glutamatergic Neuron
478,Glutamatergic Neuron
479,Glutamatergic Neuron
480,Glutamatergic Neuron
481,Glutamatergic Neuron
482,Glutamatergic Neuron
483,Glutamatergic Neuron
484,Glutamatergic Neuron
485,Glutamatergic Neuron
486,Glutamatergic Neuron
487,Glutamatergic Neuron
488,Glutamatergic Neuron
489,Glutamatergic Neuron
490,Glutamatergic Neuron
491,Glutamatergic Neuron
492,Glutamatergic Neuron
493,Glutamatergic Neuron
494,Glutamatergic Neuron
495,Glutamatergic Neuron
496,Glutamatergic Neuron
497,Glutamatergic Neuron
498,Glutamatergic Neuron
499,Glutamatergic Neuron
500,Glutamatergic Neuron
501,Glutamatergic Neuron
502,Glutamatergic Neuron
503,Glutamatergic Neuron
504,Glutamatergic Neuron
505,Glutamatergic Neuron
506,Glutamatergic Neuron
507,Glutamatergic Neuron
508,Glutamatergic Neuron
509,Glutamatergic Neuron
510,Glutamatergic Neuron
511,Glutamatergic Neuron
512,Glutamatergic Neuron
513,Glutamatergic Neuron
514,Glutamatergic Neuron
515,Glutamatergic Neuron
516,Glutamatergic Neuron
517,Glutamatergic Neuron
518,Glutamatergic Neuron
519,Glutamatergic Neuron
520,Glutamatergic Neuron
521,Glutamatergic Neuron
522,Glutamatergic Neuron
523,Glutamatergic Neuron
524,Glutamatergic Neuron
525,Glutamatergic Neuron
526,Glutamatergic Neuron
527,Glutamatergic Neuron
528,Glutamatergic Neuron
529,Glutamatergic Neuron
530,Glutamatergic Neuron
531,Glutamatergic Neuron
532,Glutamatergic Neuron
533,Glutamatergic Neuron
534,Glutamatergic Neuron
535,Glutamatergic Neuron
536,Glutamatergic Neuron
537,Glutamatergic Neuron
538,Glutamatergic Neuron
539,Glutamatergic Neuron
540,Glutamatergic Neuron
541,Glutamatergic Neuron
542,Glutamatergic Neuron
543,Glutamatergic Neuron
544,Glutamatergic Neuron
545,Glutamatergic Neuron
546,Glutamatergic Neuron
547,Glutamatergic Neuron
548,Glutamatergic Neuron
549,Glutamatergic Neuron
550,Glutamatergic Neuron
551,Glutamatergic Neuron
552,Glutamatergic Neuron
553,Glutamatergic Neuron
554,Glutamatergic Neuron
555,Glutamatergic Neuron
556,Glutamatergic Neuron
557,Glutamatergic Neuron
558,Glutamatergic Neuron
559,Glutamatergic Neuron
560,Glutamatergic Neuron
561,Glutamatergic Neuron
562,Glutamatergic Neuron
563,Glutamatergic Neuron
564,Glutamatergic Neuron
565,Glutamatergic Neuron
566,Glutamatergic Neuron
567,Glutamatergic Neuron
568,Glutamatergic Neuron
569,Glutamatergic Neuron
570,Glutamatergic Neuron
571,Glutamatergic Neuron
572,Glutamatergic Neuron
573,Glutamatergic Neuron
574,Glutamatergic Neuron
575,Glutamatergic Neuron
576,Glutamatergic Neuron
577,Glutamatergic Neuron
578,Glutamatergic Neuron
579,Glutamatergic Neuron
580,Glutamatergic Neuron
581,Glutamatergic Neuron
582,Glutamatergic Neuron
583,Glutamatergic Neuron
584,Glutamatergic Neuron
585,Glutamatergic Neuron
586,Glutamatergic Neuron
587,Glutamatergic Neuron
588,Glutamatergic Neuron
